Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C105",CP_Elec_10x10.5,2,220uF,
"C102, C107",0805,2,4.7uF 100V,
"C103, C104, C106, C108, C111",0805,5,22uF,
"C109, C110, C112",0603,3,.1uF,
D101,D_SMA,1,SX35_SCHOTTKY,
D102,SOT-23,1,D_TVS_x2_AAC,
D103,0603,1,led_g,
D104,LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,1,SK6812MINI,
FID101,Fiducial_0.5mm_Mask1mm,1,Fiducial,
"J101, J102, J103, J104, J105",RJ45_Amphenol_RJHSE5380,5,RJ45_Shielded,
J106,JST_VH_2_VERTICAL,1,Conn_01x02_MountingPin,
"J107, J108",JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,2,Conn_01x04,
J109,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,1,ftdi_conn,
L101,INDUCTOR-68uH,1,68uF,
"Q101, Q102, Q103, Q104, Q105, Q106, Q107, Q108, Q109, Q110, Q111, Q112",SOT-23,12,BSS138,
"R101, R102, R103, R104, R105, R106, R107, R108, R109, R110, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R121, R122, R123, R124, R125, R126, R127",0603,27,10k,
"SW101, SW102",SWITCH_2x3_SMD_TACTILE_GREEN,2,SW_Push,
TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,TestPoint,
U101,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509,
U102,ESP32-WROOM-32U_evezor,1,ESP32-WROOM-32U,
U103,SOT-223-3_TabPin2,1,AMS1117-3.3,
U104,CAN-TRANS-SN65HVD230DR,1,Trans_CAN_SN65HVD230DR,
